                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.94604,                 1.2243,                  1.291,                0.83431,                   0.75,                0.78117,                0.50654,                0.92119,                0.86009,                0.99164,              0.0004951,              0.0004951,              0.0004951
                     54,                0.93961,                 1.2556,                 1.2648,                0.68699,                0.83604,                0.87062,                0.52634,                0.79395,                0.82254,                0.87415,              0.0004852,              0.0004852,              0.0004852
                     55,                0.83913,                  1.158,                 1.2039,                0.74769,                0.96464,                0.87062,                0.51064,                0.79702,                 0.7614,                0.85401,              0.0004753,              0.0004753,              0.0004753
                     56,                0.92797,                 1.2509,                  1.229,                0.82944,                0.93836,                0.91208,                0.51617,                0.91702,                0.76243,                0.95819,              0.0004654,              0.0004654,              0.0004654
                     57,                0.90889,                 1.2475,                 1.2585,                 0.6792,                      1,                0.91208,                0.51292,                0.93958,                0.75761,                0.95629,              0.0004555,              0.0004555,              0.0004555
                     58,                0.89717,                 1.1808,                 1.2409,                0.60154,                      1,                0.91208,                0.52893,                0.75923,                0.72911,                 0.8026,              0.0004456,              0.0004456,              0.0004456
                     59,                0.95527,                 1.1604,                 1.2581,                0.61336,                0.95147,                0.91208,                0.57693,                0.71813,                0.74635,                0.74189,              0.0004357,              0.0004357,              0.0004357
                     60,                 0.9132,                 1.1921,                 1.2082,                0.66887,                0.86594,                0.85813,                0.55392,                0.88254,                0.86706,                0.90311,              0.0004258,              0.0004258,              0.0004258
                     61,                0.85613,                 1.1408,                 1.2266,                 0.6629,                  0.875,                0.85813,                0.63109,                0.81315,                0.84173,                0.90216,              0.0004159,              0.0004159,              0.0004159
                     62,                0.88837,                 1.1297,                 1.2421,                 0.6337,                  0.875,                 0.9325,                0.63074,                0.78739,                0.83929,                0.85069,               0.000406,               0.000406,               0.000406
                     63,                0.83195,                  1.126,                 1.1992,                0.66376,                      1,                  0.995,                0.61634,                0.75235,                0.72119,                0.83662,              0.0003961,              0.0003961,              0.0003961
                     64,                 0.8911,                 1.1451,                  1.247,                0.64505,                  0.875,                 0.9325,                0.60006,                0.71857,                0.69075,                0.82182,              0.0003862,              0.0003862,              0.0003862
                     65,                0.88137,                 1.1222,                 1.2104,                0.95278,                0.72245,                   0.92,                0.64046,                0.69927,                0.71292,                0.83543,              0.0003763,              0.0003763,              0.0003763
                     66,                0.79192,                 1.0732,                  1.179,                 0.5781,                0.86734,                 0.9325,                0.66282,                0.72733,                 0.7661,                0.86318,              0.0003664,              0.0003664,              0.0003664
                     67,                0.84585,                 1.0858,                  1.202,                0.81668,                0.66667,                0.88509,                0.59895,                0.69444,                 0.6992,                0.83096,              0.0003565,              0.0003565,              0.0003565
                     68,                0.82714,                 1.1181,                 1.2175,                 0.6038,                0.86917,                0.91429,                0.53065,                0.68049,                0.65096,                0.79685,              0.0003466,              0.0003466,              0.0003466
                     69,                0.85234,                 1.0347,                 1.2282,                0.62439,                0.85692,                0.85813,                0.56987,                0.67944,                0.68512,                0.78435,              0.0003367,              0.0003367,              0.0003367
                     70,                 0.8499,                 1.0761,                 1.2242,                0.94532,                0.70458,                0.85813,                0.55585,                0.71622,                0.74109,                0.80642,              0.0003268,              0.0003268,              0.0003268
                     71,                  0.767,                 1.0324,                 1.1626,                0.64591,                      1,                0.91208,                 0.4875,                0.72897,                0.66652,                0.80764,              0.0003169,              0.0003169,              0.0003169
                     72,                0.76182,                 1.0485,                 1.1701,                0.69812,                 0.9132,                0.87062,                0.48947,                0.71799,                0.58716,                0.85887,               0.000307,               0.000307,               0.000307
                     73,                0.90097,                 1.1329,                 1.2133,                0.70599,                 0.9613,                0.87062,                0.49173,                0.75964,                0.67284,                0.86496,              0.0002971,              0.0002971,              0.0002971
                     74,                 0.7909,                 1.0307,                 1.1948,                0.76811,                      1,                0.91208,                 0.4784,                0.74969,                 0.6736,                0.82011,              0.0002872,              0.0002872,              0.0002872
                     75,                0.86442,                 1.1019,                 1.2108,                0.71107,                      1,                0.95333,                0.52788,                0.72389,                0.63465,                0.78643,              0.0002773,              0.0002773,              0.0002773
                     76,                0.84676,                 1.1097,                 1.2203,                0.87031,                   0.75,                0.85813,                0.51018,                0.70694,                0.62612,                0.75929,              0.0002674,              0.0002674,              0.0002674
                     77,                0.81736,                 1.0754,                 1.1981,                0.91338,                0.73971,                0.85813,                0.52213,                0.72395,                0.64895,                0.79819,              0.0002575,              0.0002575,              0.0002575
                     78,                0.78228,                 1.0179,                  1.172,                0.92157,                0.73323,                   0.92,                0.51435,                0.74819,                0.65853,                0.81775,              0.0002476,              0.0002476,              0.0002476
