                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.2363,                 1.2214,                 1.3289,                 0.8199,                0.90848,                0.88668,                 0.4503,                 1.4501,                0.99102,                 1.4576,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2167,                 1.1868,                 1.3405,                0.83013,                0.89286,                0.86889,                0.40646,                 1.4565,                 1.0318,                 1.4346,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.2331,                 1.2168,                 1.3577,                0.79872,                 0.9247,                0.92483,                0.46506,                 1.4026,                 1.0024,                 1.4255,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.2412,                 1.2663,                 1.3328,                0.80375,                0.80898,                0.87816,                0.47248,                 1.3438,                 1.0312,                 1.3405,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2038,                  1.224,                 1.3355,                0.76898,                0.86531,                 0.9063,                0.46133,                 1.3896,                  1.027,                 1.3995,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2212,                 1.2165,                 1.3395,                0.80208,                0.89163,                0.92304,                0.47165,                 1.3597,                0.95918,                 1.3831,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.1977,                 1.1791,                 1.3251,                0.81426,                0.92012,                0.92386,                0.44913,                 1.3966,                0.97526,                 1.4315,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2322,                 1.2075,                 1.3178,                0.83366,                0.91308,                0.90502,                0.47258,                  1.365,                0.97676,                 1.3768,               0.000505,               0.000505,               0.000505
                     53,                 1.2461,                 1.1948,                  1.344,                0.80677,                0.87212,                0.88315,                0.46063,                  1.364,                0.95995,                 1.4142,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.1761,                 1.1725,                 1.3165,                0.80064,                0.90987,                0.92519,                0.47037,                 1.3809,                0.95328,                 1.4169,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.1717,                 1.1955,                 1.3052,                0.82402,                0.90327,                0.88789,                0.45226,                 1.2944,                0.96396,                 1.2696,              0.0004753,              0.0004753,              0.0004753
                     56,                  1.238,                 1.1961,                  1.319,                0.82111,                0.93208,                0.90866,                  0.475,                 1.2398,                0.99821,                  1.261,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2277,                 1.1983,                 1.3216,                0.75471,                0.86614,                0.88552,                0.46281,                 1.2581,                0.96166,                 1.2507,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.1535,                 1.1541,                 1.2951,                0.79854,                0.87071,                0.90663,                0.48344,                 1.2753,                0.98567,                 1.2534,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.1576,                 1.1739,                 1.3066,                0.85209,                0.82061,                0.85899,                0.42787,                 1.3919,                0.97432,                 1.4125,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.1703,                 1.1469,                 1.3077,                0.83091,                 0.9005,                0.91389,                0.46265,                 1.5161,                 1.0152,                 1.5573,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.1309,                 1.1391,                 1.2869,                0.75144,                0.92096,                0.92609,                0.46317,                 1.4561,                 1.0019,                 1.5272,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.1379,                  1.124,                 1.2975,                0.83558,                0.89523,                0.89801,                0.44032,                 1.3871,                 1.0956,                 1.3901,               0.000406,               0.000406,               0.000406
                     63,                 1.1683,                 1.1398,                 1.2929,                0.86134,                0.87824,                0.92231,                0.44944,                  1.327,                0.97681,                 1.2942,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.1395,                  1.146,                 1.2891,                0.75355,                0.90825,                0.89472,                0.45871,                  1.252,                0.93197,                 1.2144,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.1502,                 1.1454,                 1.2882,                0.82788,                0.86024,                0.90854,                0.46054,                 1.3205,                0.98449,                 1.2521,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.1473,                 1.1609,                 1.3012,                0.81516,                0.94437,                 0.9247,                  0.476,                 1.2816,                 0.9454,                 1.2175,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.1365,                 1.1301,                 1.2775,                0.82728,                0.94529,                0.93069,                0.45759,                 1.3699,                0.94231,                 1.3625,              0.0003565,              0.0003565,              0.0003565
                     68,                  1.132,                 1.1305,                 1.2772,                0.76599,                0.95618,                0.89935,                0.46266,                  1.303,                0.98032,                 1.2777,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.1235,                 1.1205,                 1.2836,                0.82007,                0.94141,                0.90278,                0.46187,                 1.2489,                0.94826,                 1.2022,              0.0003367,              0.0003367,              0.0003367
                     70,                  1.137,                 1.1336,                 1.2728,                0.76958,                0.93432,                0.92177,                0.46967,                 1.2558,                0.91364,                 1.2114,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.1265,                 1.1229,                 1.2888,                0.86543,                0.93327,                0.93264,                0.46185,                 1.3712,                0.97215,                 1.3053,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.1481,                 1.1106,                 1.2766,                0.82286,                0.90606,                0.90251,                0.45057,                 1.4127,                0.91268,                 1.3449,               0.000307,               0.000307,               0.000307
                     73,                 1.1495,                 1.1316,                 1.2869,                 0.8466,                0.96205,                0.91825,                0.47127,                 1.3759,                0.92946,                 1.3472,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.1286,                 1.1193,                 1.2798,                0.83404,                0.91691,                0.91871,                0.47905,                 1.2885,                0.94891,                 1.2875,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.1315,                 1.1033,                 1.2611,                0.84167,                 0.8876,                0.89937,                0.47589,                 1.4471,                0.91765,                  1.431,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.0879,                 1.0956,                 1.2676,                0.79646,                0.89035,                0.89216,                0.49352,                 1.1891,                0.88371,                 1.1551,              0.0002674,              0.0002674,              0.0002674
                     77,                  1.136,                 1.0983,                 1.2861,                0.81952,                 0.8881,                0.89195,                0.48554,                 1.2385,                0.90658,                 1.1564,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.1013,                 1.1249,                 1.2588,                0.77854,                0.86906,                0.90644,                0.46259,                 1.3787,                0.93272,                 1.3381,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.1205,                 1.1354,                 1.2759,                0.84151,                  0.914,                   0.95,                0.47178,                 1.3929,                0.93084,                 1.3542,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.1262,                 1.1206,                 1.2852,                0.83362,                 0.9256,                 0.9422,                0.49498,                  1.282,                0.91684,                 1.2034,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.0976,                 1.0766,                 1.2544,                0.80752,                0.90994,                0.94951,                0.49306,                 1.2418,                0.91369,                  1.191,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.1091,                 1.0897,                 1.2667,                0.82857,                0.92182,                0.95678,                 0.5062,                 1.2583,                0.92692,                 1.2167,               0.000208,               0.000208,               0.000208
                     83,                 1.1276,                 1.1068,                 1.2736,                0.83044,                0.91497,                0.95066,                0.49519,                 1.3295,                0.94627,                 1.2765,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.1113,                 1.1046,                  1.257,                0.83963,                0.91659,                0.94817,                0.50245,                 1.2369,                0.89063,                 1.1787,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.1147,                 1.1006,                 1.2642,                0.79996,                0.88021,                0.93516,                0.51063,                 1.2374,                0.87655,                 1.1821,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.1559,                 1.1213,                 1.2755,                0.80029,                0.86726,                0.91135,                0.46317,                  1.376,                0.95419,                 1.3302,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.0971,                 1.1309,                 1.2698,                 0.8027,                0.90662,                0.93211,                0.49678,                 1.2634,                 0.9166,                 1.2066,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.0751,                 1.0923,                 1.2574,                 0.8358,                0.86726,                0.90778,                0.46916,                 1.2665,                0.92748,                 1.2167,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.1097,                 1.1205,                 1.2437,                 0.8634,                0.90692,                0.92264,                0.46165,                 1.3094,                0.95189,                 1.2249,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.0658,                 1.0949,                  1.259,                0.79472,                0.89111,                0.91199,                0.44882,                 1.3694,                0.94185,                  1.288,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.2934,                 1.0942,                  1.286,                0.77676,                0.94969,                0.89954,                0.48205,                 1.1333,                0.87893,                 1.0164,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.2404,                0.98288,                 1.2378,                0.77424,                0.87619,                0.89068,                0.49121,                 1.1733,                0.87412,                 1.0762,               0.000109,               0.000109,               0.000109
                     93,                 1.2072,                0.96489,                 1.2067,                0.79044,                0.89892,                0.91741,                0.50053,                 1.1656,                0.84412,                  1.033,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.1941,                0.93623,                 1.2067,                0.81274,                0.84905,                0.91754,                0.48946,                 1.1706,                0.84044,                 1.0301,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.1954,                0.95253,                 1.2096,                0.79157,                0.92425,                0.95649,                0.49967,                 1.1631,                0.85687,                  1.041,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.2088,                0.94913,                 1.2153,                 0.7934,                 0.9309,                 0.9442,                0.50023,                 1.1695,                0.83635,                  1.029,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                  1.194,                0.93876,                 1.1962,                0.80058,                0.89968,                0.94236,                0.50546,                 1.1637,                0.82271,                 1.0275,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.1759,                0.91563,                 1.1912,                0.81189,                0.87675,                0.91458,                0.49625,                 1.1525,                0.81093,                 1.0197,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                  1.186,                0.95431,                 1.1977,                0.85251,                0.85944,                0.91517,                0.50038,                 1.1611,                0.81206,                 1.0153,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.1887,                0.94993,                 1.1961,                 0.8045,                0.88946,                0.93776,                 0.5045,                 1.1462,                0.81246,                 1.0155,               2.98e-05,               2.98e-05,               2.98e-05
