                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4113,                 1.7685,                 1.7719,                0.49206,                0.91668,                0.89115,                0.44472,                 1.6087,                 1.4075,                 2.0983,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.4942,                 1.7609,                 1.7637,                0.76042,                   0.75,                0.91208,                0.44633,                 1.4028,                 1.2865,                 1.8817,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.4128,                 1.7971,                 1.7482,                0.44471,                   0.75,                0.71542,                0.31954,                 1.6035,                 1.2922,                 2.0232,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.4382,                 1.6661,                 1.8071,                0.42815,                  0.625,                0.52116,                0.31455,                 1.4782,                 1.3485,                 1.9829,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.4455,                 1.7345,                 1.7647,                0.41019,                  0.625,                0.52759,                0.31436,                 1.4707,                 1.3723,                 1.9254,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.3911,                 1.7163,                 1.7712,                0.61146,                0.91206,                 0.9225,                0.49163,                 1.2938,                 1.3226,                 1.8943,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.3961,                   1.73,                 1.7505,                0.46867,                  0.875,                0.87863,                0.43907,                 1.8632,                 1.3818,                 2.1137,               0.000307,               0.000307,               0.000307
                     73,                  1.564,                 1.8441,                 1.7738,                0.49778,                0.97378,                0.87769,                0.50529,                 1.8261,                 1.6249,                 2.2421,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.4607,                 1.7265,                 1.7787,                0.53248,                0.95833,                0.88998,                0.37907,                 1.7689,                 1.6857,                 2.2631,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.4633,                 1.8067,                 1.7636,                0.65893,                      1,                0.94113,                0.41945,                 1.5602,                 1.4262,                 2.0004,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.4664,                 1.7429,                 1.7572,                 0.6054,                      1,                0.94113,                0.40573,                 1.2775,                 1.2462,                 1.8511,              0.0002674,              0.0002674,              0.0002674
                     77,                  1.461,                 1.6807,                 1.6973,                 0.5125,                0.79895,                 0.7585,                 0.3848,                 1.3592,                 1.2914,                 1.8329,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.3602,                 1.6334,                 1.7129,                0.60268,                      1,                0.94113,                0.43135,                  1.381,                 1.2669,                 1.7989,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.3469,                 1.6442,                 1.6894,                0.83742,                   0.75,                 0.9178,                0.51257,                 1.3027,                  1.217,                 1.7823,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.3985,                 1.6386,                 1.6744,                 0.8702,                0.74524,                0.89115,                0.45596,                 1.2451,                 1.1623,                 1.7152,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.4122,                  1.673,                 1.6722,                0.85483,                0.74614,                0.89115,                0.45664,                 1.2416,                 1.1423,                 1.6947,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.3911,                 1.6572,                 1.6967,                0.49017,                0.93476,                0.89115,                0.41556,                 1.2454,                 1.1441,                 1.7336,               0.000208,               0.000208,               0.000208
                     83,                 1.3774,                 1.6003,                 1.6792,                0.58493,                      1,                0.95021,                0.45136,                 1.3154,                 1.1537,                 1.7921,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.2542,                 1.5337,                 1.6192,                0.64068,                      1,                0.95021,                0.47095,                 1.2724,                 1.2038,                 1.7688,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.3312,                  1.604,                 1.6698,                0.62632,                      1,                0.94113,                0.43877,                 1.2355,                 1.1208,                 1.7082,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.3561,                 1.7085,                 1.6378,                0.60966,                0.99784,                0.96375,                0.44773,                 1.4032,                 1.1148,                 1.8538,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.3287,                 1.5339,                 1.6031,                0.58746,                0.96722,                0.95375,                0.41036,                  1.472,                 1.2204,                 1.9433,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.3255,                   1.64,                 1.6187,                0.59057,                0.95475,                0.93281,                 0.3973,                 1.4199,                 1.2132,                  1.924,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.2565,                 1.5075,                 1.6061,                 0.6431,                0.95183,                0.95946,                0.39434,                 1.3226,                  1.215,                 1.8629,              0.0001387,              0.0001387,              0.0001387
                     90,                  1.322,                 1.5831,                 1.6445,                0.54761,                0.87021,                0.76913,                0.39361,                 1.3465,                 1.2215,                 1.8519,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.5455,                 1.9827,                 1.7946,                0.56129,                  0.875,                0.74094,                0.36002,                 1.3404,                 1.2308,                 1.8347,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.3885,                 1.7706,                 1.6629,                0.58982,                  0.875,                0.74349,                0.40204,                 1.1975,                  1.246,                 1.7484,               0.000109,               0.000109,               0.000109
                     93,                 1.3636,                 1.6999,                 1.6479,                0.83057,                   0.75,                0.81875,                0.49594,                 1.0649,                 1.1724,                 1.5766,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.3176,                 1.6942,                 1.5829,                0.81336,                   0.75,                0.81521,                0.47795,                 1.0616,                 1.1498,                 1.5661,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.2926,                 1.6553,                 1.6145,                0.82101,                   0.75,                0.81392,                 0.4923,                 1.1025,                 1.1308,                 1.5486,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.2819,                 1.6105,                  1.551,                0.81141,                   0.75,                0.78987,                0.46682,                 1.0781,                 1.1215,                 1.5246,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.2818,                 1.5951,                 1.5911,                0.60826,                      1,                0.95375,                0.48898,                 1.0838,                  1.122,                  1.512,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.2667,                 1.5997,                 1.5555,                0.60238,                      1,                0.95375,                0.48452,                 1.0704,                 1.1682,                 1.5197,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.2463,                 1.5818,                 1.5273,                0.63883,                      1,                0.95375,                 0.4831,                 1.0602,                   1.17,                 1.5156,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                  1.243,                 1.4998,                 1.5397,                0.56721,                0.92968,                 0.8499,                0.45819,                 1.0573,                 1.1443,                 1.5092,               2.98e-05,               2.98e-05,               2.98e-05
